Section,Key,thai,eng
chapter1,chapter1.factbox1,**PM2.5** คือ ฝุ่นที่มีขนาดเล็กกว่าเส้นผม (2.5 ไมครอน) ทำให้รอดจากการดักจับของระบบทางเดินหายใจ และเข้าไปถึงถุงลมฝอยของปอดได้โดยตรง อาการเบื้องต้นคือไอ หายใจไม่ถนัด ระคายเคืองผิว,"**PM2.5** refers to particles that are thinner than a human hair (2.5 micrometers), and therefore cannot be detected by our respiratory system. It can travel directly into capillary air bags in the lungs. Short-term health effects include coughing, shortness of breath, and skin irritation. 
"
chapter1,chapter1.factbox2,เมื่อเราหายใจอากาศที่มีปริมาณฝุ่นสูงเกินมาตรฐานความปลอดภัยนาน ร่างกายจะสะสมสารอันตรายที่อยู่ในฝุ่น ไม่ว่าจะเป็นโลหะหนัก สารก่อมะเร็ง และสารก่อภูมิแพ้ เพิ่มความเสี่ยงโรคต่างๆ คล้ายการสูบบุหรี่,"The longer we breathe in the air that contains PM2.5 that exceeds the limit, the higher chance we would develop serious diseases as the bodies receive deadly substances through PM2.5 such as heavy metals, carcinogen, and allergens. This is similar to what smoking does."
chapter1,chapter1.datavisual.title,"ช่วงที่ธราธรไม่สบาย แถวบ้านเขามีค่าฝุ่นเกินมาตรฐานถึง 34 วัน
","During his time of sickness, the PM2.5 level around his neighborhood has exceeded the limit for as long as 34 days."
chapter1,chapter1.datavisual.description,"ค่าฝุ่น PM2.5 เฉลี่ย 24 ชั่วโมง @ สถานีวัดคุณภาพอากาศบางขุนเทียน พฤศจิกายน 2562 - กุมภาพันธ์ 2563

มีค่าสูงสุด 96 ไมโครกรัม/ลูกบาศก์เมตร **สูงกว่ามาตรฐานไทย 2 เท่าและองค์การอนามัยโลก 4 เท่า**",The 24-hour mean of PM2.5 at Bang Khun Thian Air Quality Monitoring Station from November 2019 - February 2020 was as much as 96 μg/m³ **2 times higher than the standard in Thailand and 4 times higher than the WHO standard**
chapter1,chapter1.datavisual.legend.red,"**มีผลกระทบต่อสุขภาพ**
ค่า PM2.5 เฉลี่ย 24 ชม.มากกว่า 90 มคก./ลบ.ม.","**Unhealthy** 
The 24-hour mean of PM2.5 is more than 90 μg/m³
"
chapter1,chapter1.datavisual.legend.orange,"**เริ่มมีผลกระทบต่อสุขภาพ**
ค่า PM2.5 เฉลี่ย 24 ชม. = 51 - 90 มคก./ลบ.ม.","**Affect the health**
the 24-hour mean of PM2.5 is 51-90 μg/m³"
chapter1,chapter1.datavisual.legend.normal,"**คุณภาพอากาศปานกลางถึงดี**
ค่า PM2.5 เฉลี่ย 24 ชม. น้อยกว่า 51 มคก./ลบ.ม.","**Normal to good**
the 24-hour mean of PM2.5 is below 51 μg/m³"
chapter1,chapter1.datavisual.source,ข้อมูล: กรมควบคุมมลพิษ,Data Source: Pollution Control Department
chapter1,chapter1.fact1,"องค์การอนามัยโลก เผยว่าทุกปี คนราว  **7,000,000 คน** ทั่วโลกเสียชีวิตเพราะสัมผัสมลพิษทางอากาศสะสม","The World Health Organization revealed that every year **7,000,000 people** die from air pollution."
chapter1,chapter1.link,ปัญหาฝุ่นเป็นเรื่อง**ธรรมชาติ**ที่เราเปลี่ยนแปลงไม่ได้จริงหรือ?,"PM2.5 issue happens **naturally**, so that means we can't do anything about it?"
chapter1,chapter1.whatispm.title,ปัญหา PM2.5 เกิดจากทั้งปัจจัยทางธรรมชาติและมนุษย์,PM2.5 issue is caused by both natural and human factors.
chapter1,chapter1.whatispm.factor1,แหล่งกำเนิดฝุ่นควัน,the source of PM2.5
chapter1,chapter1.whatispm.factor2,สภาพอากาศและสภาพภูมิศาสตร์ในพื้นที่,the weather and the geography of the area
chapter1,chapter1.whatispm.body1,"2 อย่างนี้ทำให้แต่ละที่เจอปัญหาฝุ่นต่างช่วงเวลากัน
",These 2 factors result in each area facing the issue during different time of the year.
chapter1,chapter1.whatispm.body2,"**ภาคกลาง** พฤศจิกายน - พฤษภาคม
**ภาคเหนือ & ตะวันออกเฉียงเหนือ** มกราคม - พฤษภาคม
**ภาคใต้** กรกฎาคม - กันยายน","**Central**, November - May
**North & Northeastern**, January - May
**South**, July - September"
chapter1,chapter1.whatwedo.title,เมื่อฤดูฝุ่นมาถึง รัฐไทยทำอะไรบ้าง?,"Once the season of PM2.5 arrives, what do our Thai government do?"
chapter1,chapter1.whatwedo.policy1.title,ป้องกัน,Prevention
chapter1,chapter1.whatwedo.policy1.content,"- เปิด Clean Room พื้นที่ติดเครื่องฟอกอากาศให้บริการ
- ติดตั้งเครื่องฟอกอากาศในที่สาธารณะ
- อัพเดตสถานการณ์แก่ประชาชน
- ประกาศปิดโรงเรียนเมื่อคุณภาพอากาศอันตราย
- ฯลฯ","- Providing a Clean Room , a public space with air purifiers free of charge
- Installing air purifiers in the public space
- Giving knowledges and updating the current situation for citizens
- Closing schools temporarily on days that PM2.5 exceeds the standard level.
- etc."
chapter1,chapter1.whatwedo.policy2.title,รุกลด ,Active Cutback
chapter1,chapter1.whatwedo.policy2.content,"- กำหนดช่วงเวลาห้ามรถบรรทุกเข้าเขตเมือง ช่วงเวลาห้ามเผาทางการเกษตรและก่อสร้าง  
- สนับสนุนให้ชุมชนเก็บเชื้อเพลิงไฟป่า (ใบไม้แห้ง) ไปทำผลิตภัณฑ์
- กระจายอำนาจให้องค์การปกครองส่วนท้องถิ่นดับไฟ
- ฯลฯ","- Limiting hours for trucks entering the central area of the city, agricultural burn, and constructions.
- Reducing the chance of wildfires by promoting the use of dry leaves as products
- Teaming up to stop wildfires by allowing local authorities to handle the situation by themselves.
- etc."
chapter1,chapter1.whatwedo.body2,ปี 2561 คณะรัฐมนตรีได้ยกระดับให้ปัญหาฝุ่นควันเป็น**วาระแห่งชาติ**ที่ต้องเร่งแก้ไข ,"In 2018, the Cabinet of Thailand leveraged the PM2.5 issue as **National Agenda** that must be solved immediately."
chapter1,chapter1.whatwedo.body3,แต่เราก็ยังเจอปัญหาฝุ่นอยู่,But we're still facing the PM2.5 issue.
chapter1,chapter1.whatwedo.body4,คนไทย **6** ใน **10** คน มองว่า PM2.5 เป็นปัญหาเร่งด่วนและไม่พึงพอใจการรับมือของภาครัฐ ,"**6** out of **10** citizens in Thailand think that PM2.5 is an urgent issue and are not happy with the way the government is handling it,"
chapter1,chapter1.whatwedo.source,"ข้อมูล: สวนดุสิตโพล สำรวจความคิดเห็นประชาชน 2563
",Data Source: Suan Dusit Poll 2020
chapter1,chapter1.whatwedo.link,การรับมือวันนี้อาจไม่พอ,The solutions today might not be good enough
chapter2,chapter2.name,รู้จักปัญหา: แก่น,Knowing the problem: the core
chapter2,chapter2.coreprob.title,ผู้เชี่ยวชาญต่างเห็นตรงกันว่าการรับมือวันนี้ยังขาด 4 องค์ประกอบ,Experts have agreed on one thing; the solutions still lack of 4 elements.
chapter2,chapter2.coreprob1.title,"การบูรณาการ
","Holistic approaches
"
chapter2,chapter2.coreprob1.content,ปีนี้คณะกรรมการแก้ไขปัญหาฝุ่นได้เชิญหน่วยงานรัฐ **54** แห่งที่เกี่ยวข้องมาประชุม ,"This year, PM2.5 Committee has scheduled a meeting with **54** government agencies."
chapter2,chapter2.coreprob2.title,งบประมาณ,"Budget
"
chapter2,chapter2.coreprob2.content,"ไม่มีการตรวจสอบงานของเครือข่ายดับไฟป่าเหนือ **1,000** แห่งที่ได้งบแผ่นดิน ขณะที่ชุมชนที่อาศัยร่วมกับป่าต้องเปิดรับเงินบริจาคอุปกรณ์ดับไฟ","There are no tracking records of the works of **1,000** funded Northern Wildfires Networks whereas the local communities living close to the forest have to raise money to buy equipment to stop the wildfires."
chapter2,chapter2.coreprob3.title,องค์ความรู้,"Knowledge
"
chapter2,chapter2.coreprob3.content,แม่ฮ่องสอนอ่วมฝุ่น! แต่มีแค่**1**ตำบลที่วัดคุณภาพอากาศ!,Mae Hong Son full of PM2.5! Only **1** district gets an air quality checking!
chapter2,chapter2.coreprob4.title,"การทำงานต่อเนื่อง
","Consistancy
"
chapter2,chapter2.coreprob4.content,แผนแก้ PM2.5 ปี 64 เสนอเข้าครม.แค่ **1** เดือนก่อนฝุ่นบุกกรุง!,National Plan to solve PM2.5 issue of 2021 was proposed to the Cabinet of Thailand only **1** month away from the PM2.5 season!
chapter2,chapter2.coreprob.body,เรารับมือ PM2.5 เหมือน**ภัยพิบัติชั่วคราว**,PM2.5 is being handled like it is one of the **temporary catastrophes**
chapter2,chapter2.coreprob.quote.content,"อันดับแรกกระบวนทัศน์คุณต้องชัดเจนอยู่ก่อนว่าคุณกำลังรับมือกับปัญหาอะไร ถ้าคุณตีความว่าปัญหาฝุ่นมันคือ**ภัยพิบัติ** มันมาแล้วก็ไป แต่ปัญหา PM2.5  เหมือนยักษ์ที่หลับอยู่ มันเกี่ยวข้องกับ**โครงสร้าง 
การผลิตและพฤติกรรมของสังคม**ที่พัฒนาอย่างไม่ยั่งยืนซึ่งต้องสร้างการเปลี่ยนแปลงตลอดทั้งปี เรื่องนี้จึงไม่ใช่การรับมือปัญหาเพียงชั่วคราวที่แก้ได้เฉพาะหน้าไม่กี่เดือน
","First of all, you have to be clear what problems you’re dealing with. If you take PM2.5 issue as if it’s a **catastrophe**, then you’ll only care about it temporarily. In fact, this issue is actually like a sleeping giant. It’s related directly with the **infrastructure of manufacturing sector and social behaviors**, which would not be developed sustainably. We need changes all year round. This the kind of problem you can’t just complete short-term solutions in a few months.
"
chapter2,chapter2.coreprob.quote.source,"บัณรส บัวคลี่ , สภาลมหายใจเชียงใหม่","Bunnaroth Buaklee, Chiang Mai Breath Council"
chapter2,chapter2.link,"หรือเราควรมีเครื่องมือแก้ปัญหาฝุ่นโดยเฉพาะ
",Or should we have something specifically to solve PM2.5 issue?
chapter3,chapter3.name,หาทางออก,Finding the solutions
chapter3,chapter3.solution.title,"คนไทยกำลังร่วมกันผลักดัน**กฎหมายอากาศสะอาด** 
","Thai people are working together to drive a **Clean Air Act**
"
chapter3,chapter3.solution.body1,"กฎหมายนี้มุ่ง…

","This act is intended to…
"
chapter3,chapter3.solution.purpose1,"รับรอง**สิทธิที่จะหายใจอากาศสะอาด**เป็นสิทธิพื้นฐานของประชาชนอย่างเป็นทางการ

","recognize the **right to breathe clean air** as an official right of Thai citizens
"
chapter3,chapter3.solution.purpose2,"เป็น**เครื่องมือใหม่**ให้หน่วยงานรัฐใช้ทำงานเรื่องอากาศหรือตั้งหน่วยงานใหม่เพื่อทำงานโดยเฉพาะ
","be used as a **new working tool** for the government agencies to work on air quality as well as forming the new ones that focus only on the air quality control
"
chapter3,chapter3.solution.purpose3,"รับรอง**สิทธิที่จะเข้าถึงข้อมูล**เกี่ยวกับคุณภาพอากาศและยกระดับมาตรฐานอากาศให้ได้มาตรฐานสากล

","recognize citizen's **right to access information** about the air quality and enhace thai air quality to meet the international standards
"
chapter3,chapter3.solution.purpose4,"สร้าง**แหล่งเงิน**สำหรับทำงาน โดยกำหนดแรงจูงใจและค่าปรับให้ภาคส่วนต่างๆ ร่วมกันสร้างอากาศสะอาด

","create a **source to fund maintenance** by driving motivation and penalty fees in order to encourage all sectors to contribute to better air quality
"
chapter3,chapter3.solution.source,"ข้อมูล:
1.ร่างพ.ร.บ.กำกับดูแลการจัดการอากาศสะอาดเพื่อสุขภาพแบบบูรณาการ โดย เครือข่ายอากาศสะอาด
2.ร่างพ.ร.บ.การบริหารจัดการเพื่ออากาศสะอาด โดย หอการค้าไทยและเครือข่าย","Data Source:

1. Drafted Holistic Governance of Clean Air for Health Act by Thailand Clean Air Network (Unofficial Name)
2. Drafted Management for Clean Air Act by Thai Chamber of Commerce and Network (Unofficial Name)"
chapter3,chapter3.solution.body2,ปัจจุบัน กฎหมายอยู่ในขั้นส่งร่างเข้าสภาผู้แทนราษฎรเพื่อพิจารณาและประยุกต์เป็นพระราชบัญญัติ,The act is on its way to the House of Representatives of Thailand for consideration to become an offical act.
chapter3,chapter3.scenario.title,ชวนนึกฝันถึงวันที่มีกฎหมายอากาศสะอาด...จะเกิดอะไรบ้าง,Imagine the day that the act of clean air is officially present… what would happen?
chapter3,chapter3.scenario.body1,"กฎหมายจะช่วยเติมเต็มการคุ้มครองสิทธิที่จะหายใจอากาศสะอาดของคุณจากกฎหมายที่มีอยู่แล้วและเพิ่มช่องทางเรียกร้องความยุติธรรมให้สมบูรณ์ขึ้น
","The law will support in the existing environment and other related laws and fulfill your right to breathe clean air. Also, it will give citizens more channels to call for justice."
chapter3,chapter3.scenario.timeline1,**ธราธร** มอเตอร์ไซค์รับจ้าง รู้สึกไม่สบาย สันนิฐานว่าเป็นผลจากมลพิษทางอากาศ,"**Tharathorn**, a motorcycle taxi driver, becomes sick seemingly due to the air pollution."
chapter3,chapter3.scenario.timeline2,"เขาสามารถอ้างให้รัฐรับรองและคุ้มครองสิทธิหายใจอากาศสะอาดได้ตามกฎหมายอากาศสะอาด 
(มาตรา 15) ",He can request a support for his right to breathe clean air. (section 15)
chapter3,chapter3.scenario.timeline3,"เขาอาจขอให้องค์กรเอกชนที่ให้ความช่วยเหลือกลุ่มคนเปราะบางช่วยดำเนินคดีและ
เรียกค่าสินไหมทดแทน/ค่าเสียหายได้",He can consult a private organization who works to help vulnerable subjects for to conduct a lawsuit and claim damages in the form of a compensation.
chapter3,chapter3.scenario.timeline4,ธราธรสามารถเป็นตัวแทนฟ้องคดีแทนมอเตอร์ไซค์รับจ้างคนอื่นๆ  (Class Action) ให้คนอื่นได้รับผลชดเชยเดียวกัน,"Tharathorn can also be a representative for other motorcycle taxi drivers according to the class action regulation, allowing the others to receive the same compensation."
chapter3,chapter3.scenario.timeline5,เมื่อศาลพิจารณาแล้ว หน่วยงานรัฐหรือเอกชนที่ถูกฟ้องต้องยุติกิจกรรมการก่อให้เกิดหมอกควันพิษ (มาตรา 16)," Once the lawsuit is complete, the following government agencies or private organizations would then have to terminate all activities that cause PM2.5. (Section 16)"
chapter3,chapter3.scenario.note,"

หมายเหตุ: หากเป็นกรณีหมอกควันข้ามพรมแดน ผู้ฟ้องไม่จำเป็นต้องพิสูจน์ว่าตนป่วยจากสาเหตุฝุ่นควัน แต่ผู้ก่อมลพิษมีภาระต้องพิสูจน์ว่าไม่ได้เป็นผู้ก่อปัญหาฝุ่น
","Note: For transboundary pollution cases, it is not the plaintiff who has to prove the cause of his or her sickness, instead it is the defendant who would have to provide evidences to protect themselves."
chapter3,chapter3.opinion.title,กฎหมายที่ประชาชนผลักดัน แล้วหน่วยงานรัฐเห็นด้วยไหม,Citizens are driving this clean air act forward. Do Thai officers agree with this?
chapter3,chapter3.opinion1.content,"ผมเชื่อว่ากฎหมายตัวนี้มีจุดประสงค์ดี กรมโรงงานอุตสาหกรรมมีบทบาทเฝ้าระวังและติดตามการเกิดมลพิษด้วยเครื่องมือทางกฎหมายที่มี ปัญหา PM2.5 เป็นปัญหาที่ภาคอุตสาหกรรมรับทราบแล้วและทำงานร่วมกันมาตลอด


","I believe that there’s good intention behind this law. Department of Industrial Works’ job is to monitor and track sources of pollution with the use of existing legalized tools. Industrial sectors are well aware of the issue and are working closely to solve the problem together.
"
chapter3,chapter3.opinion1.source,"ศุภกิจ บุญศิริ , รองอธิบดีกรมโรงงานอุตสาหกรรม 


","Supakit Boonsiri, Deputy Director General of Department of Industrial Works
"
chapter3,chapter3.opinion2.content,"โดยหลักการ ผมเห็นด้วยอยู่แล้ว แต่เราตั้งอยู่บนหลักการว่ากฎหมายหนึ่งควรจะครอบคลุมหลายประเด็น เรากำลังผลักดันพ.ร.บ.ส่งเสริมและรักษาคุณภาพสิ่งแวดล้อมเพื่อจัดการครอบคลุมมลพิษทุกเรื่อง เช่น น้ำเสีย ขยะ และอากาศ เราจะเอาเนื้อหาสาระของพ.ร.บ.อากาศสะอาดมาบรรจุด้วย เพราะมลพิษทุกด้านมีความสะอาดไม่ยิ่งหย่อนกัน
","I completely agree with the concept. But we all believe that one law should cover many issues. We’re driving the Promotion and Conservation of National Environmental Quality Act in order to fix all pollution-related problems, such as contaminated water, garbage, and air pollution. We’re going to include the content of Clean Air Act in this because all pollution-related issues deserve to be treated the same way.
"
chapter3,chapter3.opinion2.source,"อรรถพล เจริญชันษา , อธิบดีกรมควบคุมมลพิษ
","Athapol Charoenshunsa, Director General of Pollution Control Department
"
chapter3,chapter3.link1,กฎหมายเป็นเครื่องมือหนึ่งในบรรดาเครื่องมือมากมาย แต่สิ่งหนึ่งที่คนไทยมีมาตลอด คือ **สิทธิที่จะหายใจอากาศสะอาด** ซึ่งเป็นสิทธิในสุขภาพและชีวิตที่ติดตัวทุกคนมาตั้งแต่เกิดตามหลักสิทธิมนุษยชน,This act is one of many tools but one thing that Thai people have always had is **the right to breathe clean air** which is the very fundamental right regarding the wellbeing that comes with everyone from the first day they were born.
chapter3,chapter3.opinion3,"แม้ว่าทุกวันนี้ระบบกฎหมายไทยยังไม่เคยรับรองสิทธิที่จะหายใจอากาศสะอาดอย่างเป็นทางการ แต่มันเป็นสิทธิขั้นพื้นฐานตามรัฐธรรมนูญของไทยและสากล รัฐจึงไม่มีเหตุผลที่จะละเลยปัญหา PM2.5 อย่างไรก็ตาม สิ่งสำคัญที่เราอยากเห็นที่สุด คือ การที่พวกเราคนไทยตระหนักว่าสิทธิที่จะหายใจนั้นเป็นสิทธิของพวกเรา - ทีมร่างกฎหมาย , เครือข่ายอากาศสะอาด
","""Although today’s Thai laws still don’t officially recognize the right to breathe clean air, this right is already included as one of the fundamental rights recognized by Constitution of Thailand and other international countries. There’s no excuse for the government to ignore the issue of PM2.5. Nevertheless, what we want to see most is how Thai people come to understand and become aware of their own rights to breath clean air.” - Law Drafting Team ,Thailand Clean Air Network
"
chapter3,chapter3.link2,ท่ามกลางฝุ่นควัน สิทธิที่จะหายใจไม่ได้หายไปไหน...คุณหาเจอแล้วหรือยัง,"Amid hazy sky, the right to breathe clean air still exists. Have you found yours?"
chapter3,chapter3.title,"ร่วมกันสร้างอากาศสะอาด
",Let's help create our own clean air together
chapter3,chapter3.action1.title,"เป็นหูเป็นตา ติดตามการทำงานของรัฐ 
",monitor and keep updated with the government's clean air mission
chapter3,chapter3.action1.presubtitle,มาตรการสายไหนที่ใช่คุณ,Which policy is right for you?
chapter3,chapter3.action1.subtitle,คุณชอบใช้เวลาอยู่ที่ไหน,Where do you like to spend time at?
chapter3,chapter3.action1.character1,ท้องถนน,On the road
chapter3,chapter3.action1.character2,ป่าและพื้นที่เกษตร,In the forest and agricultural areas
chapter3,chapter3.action1.character3,เมือง,In the city
chapter3,chapter3.action1.character4,โรงงาน,In the factory
chapter3,chapter3.action1.character5,บ้าน,At home
chapter3,chapter3.action1.character6,อื่นๆ,Other
chapter3,chapter3.action1.database.title,แผนพัฒนาอากาศสะอาด ปี 2564 - 2570 ของประเทศไทย,Thailand's National Agenda Scheme for Clean Air 2021-2027
chapter3,chapter3.action1.database.year,ปี,Year
chapter3,chapter3.action1.database.category,ด้าน,Category
chapter3,chapter3.action1.database.policy,มาตรการ,Policy
chapter3,chapter3.action1.database.department,หน่วยงานหลัก,Department
chapter3,chapter3.action1.database.source,"อ้างอิงจาก แผนปฏิบัติการขับเคลื่อนวาระแห่งชาติการแก้ไขปัญหามลพิษด้านฝุ่นละออง, แผนเฉพาะกิจเพื่อการแก้ไขปัญหามลพิษด้านฝุ่นละออง, ที่ประชุมคณะกรรมการสิ่งแวดล้อมแห่งชาติ 20 กรกฎาคม 2563","Reference: National Agenda Scheme to solve PM2.5 issue, Special Urgent Scheme to solve PM2.5 issue, The National Environmental Board Meeting, 20 July 2020"
chapter3,chapter3.action2.title,อ่านเพิ่มเติม,More stuff to read
chapter3,chapter3.action2.content,เรียนรู้เพิ่มเรื่องกฎหมายอากาศสะอาดและวิธีลงชื่อ,Find out more about the clean air act and how to sign the petition
chapter3,chapter3.action2.button,ร่วมลงชื่อเสนอร่าง-พ.ร.บ.,Sign your name to support the act
chapter3,chapter3.action3,แชร์ต่อให้คนรอบตัว,Spread the words on your social media
chapter3,chapter3.credit1,"โดย ณิชา เวชพานิช , สปัญญา ศรีสุข และ วิถี ภูษิตาศัย
แปล ณัชชา เวชพานิช","By Nicha Wachpanich, Sapanya Srisook and Withee Poositasai 
Translated by Natcha Wachpanich"
chapter3,chapter3.credit2,"ผลงานชิ้นนี้ได้รับการสนับสนุนการผลิตจากทุนรายงานข่าวสิ่งแวดล้อม โดย Stockholm Environment Institute (SEI) ผลงานไม่จำเป็นต้องสะท้อนความเห็นขององค์กรและผู้สนับสนุน


","This story was produced as part of the Stockholm Environment Institute (Asia) media grant for environmental reporting. It does not necessarily reflect the views of SEI or its funders.
"
chapter3,chapter3.credit3,"ข้อมูล: อรรถพล เจริญชันษา, ศุภกิจ บุญศิริ, ไพสิฐ พานิชกุล, เครือข่ายอากาศสะอาด,  สภาลมหายใจเชียงใหม่
, ธราธร อินทรเทพและ GRABสันทนาการFamily, นุชนารถ แท่นทอง, กฤษฎิ์ บัวเผื่อน, GISTDA
, คณะกรรมาธิการวิสามัญพิจารณาศึกษาแนวทางการป้องกันและแก้ไขปัญหาฝุ่นละอองขนาดเล็กอย่างเป็นระบบ สภาผู้แทนราษฎร


","Information Sources: Athapol Charoenshunsa, Supakit Boonsiri, Paisit Panichakul, Thailand Clean Air Networks,  Chiang Mai Breath Council,  Tharathorn Intaratep and Grab Santanakan Family, Nuchanart Tantong, Krit Buaphuan,  GISTDA, PM2.5 Committee of House of Representatives of Thailand"
